ID Transaksi,Tanggal Pembelian,Menu,Harga Satuan,Jumlah,Subtotal
1,"01-03-2026",Joshua,7000,1,7000
2,"01-03-2026",Joshua,7000,1,7000
2,"01-03-2026",Telur Goreng,3000,3,9000
3,"01-03-2026",Kopi Hitam,6000,2,12000
3,"01-03-2026",Teh Susu,7000,1,7000
4,"01-03-2026",Extra Joss,5000,1,5000
4,"01-03-2026",Nutrisari,5000,1,5000
5,"01-03-2026",Bimsu,7000,1,7000
5,"01-03-2026",Teh,4000,3,12000
6,"01-03-2026",Kopi Susu,7000,3,21000
6,"01-03-2026",Nutrisari,5000,1,5000
7,"01-03-2026",Joshua,7000,1,7000
7,"01-03-2026",Teh Susu,7000,1,7000
8,"01-03-2026",Teh,4000,1,4000
8,"01-03-2026",Joshua,7000,1,7000
9,"01-03-2026",Air Mineral,3000,1,3000
9,"01-03-2026",Kopi Susu,7000,3,21000
10,"01-03-2026",Es Kopi Susu,10000,2,20000
11,"01-03-2026",Joshua,7000,1,7000
11,"01-03-2026",Teh Susu,7000,1,7000
12,"01-03-2026",Kopi Hitam,6000,3,18000
13,"01-03-2026",Es Kopi Susu Aren,12000,1,12000
14,"01-03-2026",Kopi Hitam,6000,1,6000
15,"01-03-2026",Joshua,7000,1,7000
16,"01-03-2026",Beng-Beng,8000,2,16000
16,"01-03-2026",Teh,4000,2,8000
17,"01-03-2026",Teh Susu,7000,2,14000
18,"01-03-2026",Joshua,7000,1,7000
19,"01-03-2026",Giras Susu,8000,1,8000
20,"01-03-2026",Teh,4000,1,4000
20,"01-03-2026",Teh Susu,7000,1,7000
21,"01-03-2026",Matcha,8000,3,24000
22,"01-03-2026",Kopi Susu,7000,1,7000
22,"01-03-2026",Teh Susu,7000,1,7000
23,"01-03-2026",Joshua,7000,1,7000
23,"01-03-2026",Teh Susu,7000,2,14000
24,"01-03-2026",Teh,4000,1,4000
25,"01-03-2026",Extra Joss,5000,1,5000
26,"01-03-2026",Bimsu,7000,1,7000
27,"01-03-2026",Teh Susu,7000,1,7000
28,"02-03-2026",Teh,4000,3,12000
28,"02-03-2026",Joshua,7000,1,7000
29,"02-03-2026",Kopi Hitam,6000,1,6000
29,"02-03-2026",Kuku Bima,5000,1,5000
30,"02-03-2026",Giras,7000,2,14000
31,"02-03-2026",Kopi Susu,7000,1,7000
31,"02-03-2026",Air Mineral,3000,1,3000
32,"02-03-2026",Kopi Susu,7000,1,7000
32,"02-03-2026",Joshua,7000,1,7000
33,"02-03-2026",Teh,4000,1,4000
34,"02-03-2026",Milo,8000,2,16000
34,"02-03-2026",Joshua,7000,1,7000
35,"02-03-2026",Indomie,6000,1,6000
35,"02-03-2026",Teh,4000,1,4000
36,"02-03-2026",Kopi Jahe,6000,1,6000
36,"02-03-2026",Nutrisari,5000,1,5000
37,"02-03-2026",Es Kopi Susu,10000,1,10000
37,"02-03-2026",Nutrisari,5000,1,5000
38,"02-03-2026",Es Kopi Susu Aren,12000,1,12000
38,"02-03-2026",Kopi Jahe,6000,3,18000
39,"02-03-2026",Es Kopi Susu,10000,1,10000
39,"02-03-2026",Kopi Susu,7000,1,7000
40,"02-03-2026",Joshua,7000,1,7000
41,"02-03-2026",Teh,4000,1,4000
41,"02-03-2026",Kopi Hitam,6000,3,18000
42,"02-03-2026",Kopi Susu,7000,1,7000
42,"02-03-2026",Kuku Bima,5000,3,15000
43,"02-03-2026",Milo,8000,1,8000
43,"02-03-2026",Taro,8000,1,8000
44,"02-03-2026",Teh,4000,2,8000
44,"02-03-2026",Extra Joss,5000,1,5000
45,"02-03-2026",Telur Goreng,3000,1,3000
46,"02-03-2026",Joshua,7000,1,7000
46,"02-03-2026",Taro,8000,2,16000
47,"02-03-2026",Kopi Jahe,6000,1,6000
48,"02-03-2026",Joshua,7000,1,7000
49,"02-03-2026",Joshua,7000,1,7000
49,"02-03-2026",Kopi Susu,7000,2,14000
50,"03-03-2026",Kopi Jahe,6000,1,6000
51,"03-03-2026",Taro,8000,1,8000
52,"03-03-2026",Bimsu,7000,1,7000
52,"03-03-2026",Es Kopi Susu,10000,1,10000
